Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2024-01-02T06:45+01:00,10186.074,40657.54987,84.92
2024-01-02T07:00+01:00,10516.58058,41150.06772,54.94
2024-01-02T07:15+01:00,10595.76945,41594.75618,69.97
2024-01-02T07:30+01:00,10663.1837,42035.07061,84.97
2024-01-02T07:45+01:00,10751.90256,42353.57411,110.05
2024-01-02T08:00+01:00,11257.08289,42660.64994,20.1
2024-01-02T08:15+01:00,11430.67996,42863.54922,82.41
2024-01-02T08:30+01:00,11461.57396,43120.95699,71.16
2024-01-02T08:45+01:00,11564.2241,43152.10922,92.41
2024-01-02T09:00+01:00,11969.75093,43061.49758,84.9
2024-01-02T09:15+01:00,12112.16905,43405.44838,79.93
2024-01-02T09:30+01:00,12185.80382,43678.73388,87.41
2024-01-02T09:45+01:00,12516.41371,43877.2945,89.92
2024-01-02T10:00+01:00,12463.46432,44012.58153,74.98
2024-01-02T10:15+01:00,12520.0017,44055.87086,87.42
2024-01-02T10:30+01:00,12620.46403,44016.17984,89.92
2024-01-02T10:45+01:00,12663.9259,43834.49819,89.92
2024-01-02T11:00+01:00,12894.43756,43263.52466,89.95
2024-01-02T11:15+01:00,12910.09445,42636.83464,87.42
2024-01-02T11:30+01:00,13014.42713,42021.88824,87.42
2024-01-02T11:45+01:00,13146.96141,41629.43477,44
2024-01-02T12:00+01:00,13379.77927,41431.75673,89.9
2024-01-02T12:15+01:00,13477.85221,41464.77386,87.42
2024-01-02T12:30+01:00,13630.5918,41578.72349,84.91
2024-01-02T12:45+01:00,13608.82354,41269.60057,27.59
2024-01-02T13:00+01:00,13477.49577,40697.08747,69.88
2024-01-02T13:15+01:00,13537.5374,40240.64003,30.1
2024-01-02T13:30+01:00,13601.23502,39573.89889,82.42
2024-01-02T13:45+01:00,13618.84442,39089.24698,79.91
2024-01-02T14:00+01:00,13616.72228,38776.3067,82.43
2024-01-02T14:15+01:00,13698.11813,38464.6989,82.42
2024-01-02T14:30+01:00,13663.58003,38165.35939,30.09
2024-01-02T14:45+01:00,13618.55383,38051.26921,66.76
2024-01-02T15:00+01:00,13489.99732,37854.77712,65.55
2024-01-02T15:15+01:00,13376.32133,37688.98104,82.41
2024-01-02T15:30+01:00,13415.80384,37854.81062,87.4
2024-01-02T15:45+01:00,13405.32922,38168.5407,42.58
2024-01-02T16:00+01:00,13681.25016,38672.29992,79.93
2024-01-02T16:15+01:00,13694.96988,39228.64806,87.41
2024-01-02T16:30+01:00,13656.42321,40000.90157,65.26
2024-01-02T16:45+01:00,13669.88186,40938.31517,73.41
2024-01-02T17:00+01:00,13617.80043,41901.81808,71.68
2024-01-02T17:15+01:00,13514.98273,42743.72891,42.6
2024-01-02T17:30+01:00,13517.9477,43537.54589,102.4
2024-01-02T17:45+01:00,13616.51023,44025.05351,107.41
2024-01-02T18:00+01:00,13716.74393,44807.64591,99.94
2024-01-02T18:15+01:00,13411.40578,45329.03155,76.19
2024-01-02T18:30+01:00,13249.09908,45904.84115,99.9
2024-01-02T18:45+01:00,13223.16987,46670.96651,47.58
2024-01-02T19:00+01:00,12932.98038,47456.08205,104.93
2024-01-02T19:15+01:00,12780.18472,47939.37537,100.35
2024-01-02T19:30+01:00,12488.94226,48279.79789,45.07
2024-01-02T19:45+01:00,12270.07314,48503.90001,40.02
2024-01-02T20:00+01:00,11779.30492,48780.64509,129.97
2024-01-02T20:15+01:00,11553.76012,49155.72423,97.48
2024-01-02T20:30+01:00,11524.00803,49369.40755,44.56
2024-01-02T20:45+01:00,11340.0122,49630.56095,30.08
2024-01-02T21:00+01:00,11004.55884,50026.47769,97.43
2024-01-02T21:15+01:00,10872.66106,50268.79797,79.07
2024-01-02T21:30+01:00,10707.41853,50272.0295,82.4
2024-01-02T21:45+01:00,10468.36689,50274.15476,25.09
2024-01-02T22:00+01:00,10199.47127,49445.37648,119.97
2024-01-02T22:15+01:00,10197.59295,49753.42597,84.95
2024-01-02T22:30+01:00,10270.36362,49962.7561,25.1
2024-01-02T22:45+01:00,10154.03164,49860.02265,20.09
2024-01-02T23:00+01:00,9993.41174,49889.26153,87.44
2024-01-02T23:15+01:00,9959.426255,49864.49224,79.92
2024-01-02T23:30+01:00,9957.02116,49798.72028,57.56
2024-01-02T23:45+01:00,9843.747629,49412.0405,15.08
2024-01-03T00:00+01:00,10176.55966,47539.49077,44.91
2024-01-03T00:15+01:00,9677.999621,46989.97086,0.08
2024-01-03T00:30+01:00,9602.620571,46905.90914,-0.06
2024-01-03T00:45+01:00,9563.76467,46821.61439,-22.28
2024-01-03T01:00+01:00,9549.660755,46752.8484,14.43
2024-01-03T01:15+01:00,9572.168318,46665.97904,-0.02
2024-01-03T01:30+01:00,9563.133011,46287.45414,-0.07
2024-01-03T01:45+01:00,9504.781567,45972.64577,-0.08
2024-01-03T02:00+01:00,9647.150641,46226.22438,2.09
2024-01-03T02:15+01:00,9607.631511,46560.12355,-0.03
2024-01-03T02:30+01:00,9551.919691,46888.41131,-0.03
2024-01-03T02:45+01:00,9584.969512,47150.11658,-0.06
2024-01-03T03:00+01:00,9554.217315,46913.19978,-0.04
2024-01-03T03:15+01:00,9532.897836,46614.44496,-0.07
2024-01-03T03:30+01:00,9566.798603,46686.98761,-0.07
2024-01-03T03:45+01:00,9556.995521,46513.89725,-0.06
2024-01-03T04:00+01:00,9554.447641,46775.26723,-0.08
2024-01-03T04:15+01:00,9547.24568,47126.67458,-17.3
2024-01-03T04:30+01:00,9571.93136,47807.15822,-0.02
2024-01-03T04:45+01:00,9616.155576,48403.5822,19.92
2024-01-03T05:00+01:00,9697.105735,47673.86536,-24.98
2024-01-03T05:15+01:00,9766.771987,47737.46528,-17.46
2024-01-03T05:30+01:00,9875.777037,48745.86939,16.5
2024-01-03T05:45+01:00,9940.572612,49290.57447,57.42
2024-01-03T06:00+01:00,10217.49735,52475.54178,-29.92
2024-01-03T06:15+01:00,10225.59447,53284.43043,-0.09
2024-01-03T06:30+01:00,10288.98892,53666.78265,26.37
2024-01-03T06:45+01:00,10483.38063,53968.44276,69.91
2024-01-03T07:00+01:00,10729.09152,54399.12458,6.68
2024-01-03T07:15+01:00,10883.51046,54619.5372,5.1
2024-01-03T07:30+01:00,10860.80564,54865.22661,59.91
2024-01-03T07:45+01:00,10888.67124,54945.36227,82.44
2024-01-03T08:00+01:00,11211.84279,54620.18098,34.29
2024-01-03T08:15+01:00,11391.33232,54518.50754,57.41
2024-01-03T08:30+01:00,11477.77528,54653.44624,62.42
2024-01-03T08:45+01:00,11532.72848,54627.80145,62.43
2024-01-03T09:00+01:00,11849.46444,54823.54303,50.09
2024-01-03T09:15+01:00,11813.23158,55456.45692,54.22
2024-01-03T09:30+01:00,11827.70765,55948.67519,54.91
2024-01-03T09:45+01:00,11788.94664,56785.04255,52.43
2024-01-03T10:00+01:00,11748.20084,57744.55665,54.9
2024-01-03T10:15+01:00,11649.03066,58531.74466,38.47
2024-01-03T10:30+01:00,11606.41085,58727.26323,42.91
2024-01-03T10:45+01:00,11616.05961,59021.34323,54.9
2024-01-03T11:00+01:00,11457.60412,59594.96133,20.1
2024-01-03T11:15+01:00,11455.8916,60116.62599,39.23
2024-01-03T11:30+01:00,11436.142,60298.33444,52.4
2024-01-03T11:45+01:00,11425.00497,60103.36315,52.4
2024-01-03T12:00+01:00,11378.22393,59887.54083,52.41
2024-01-03T12:15+01:00,11308.78629,59857.28139,49.9
2024-01-03T12:30+01:00,11327.21022,59828.80941,29.34
2024-01-03T12:45+01:00,11362.45041,59677.91609,20.1
2024-01-03T13:00+01:00,11573.5105,59274.15574,49.92
2024-01-03T13:15+01:00,11749.51961,58516.47186,52.41
2024-01-03T13:30+01:00,11764.76085,57972.07058,37.47
2024-01-03T13:45+01:00,11730.87554,57466.95287,25.1
2024-01-03T14:00+01:00,11503.67314,56615.73993,42.41
2024-01-03T14:15+01:00,11515.85328,55966.18397,39.18
2024-01-03T14:30+01:00,11453.07422,54910.38475,30.1
2024-01-03T14:45+01:00,11478.36541,53852.69892,55.21
2024-01-03T15:00+01:00,11571.75337,52460.74682,44.91
2024-01-03T15:15+01:00,11607.18733,51311.35422,61.11
2024-01-03T15:30+01:00,11848.57357,50375.56679,62.21
2024-01-03T15:45+01:00,12174.5287,49585.22808,55.1
2024-01-03T16:00+01:00,12746.68176,48856.52033,59.06
2024-01-03T16:15+01:00,13025.92581,48126.86392,40.1
2024-01-03T16:30+01:00,13189.4834,47413.21447,84.9
2024-01-03T16:45+01:00,13321.05599,46937.37106,85.41
2024-01-03T17:00+01:00,13620.6123,46443.20851,74.9
2024-01-03T17:15+01:00,13808.98788,46249.83036,82.41
2024-01-03T17:30+01:00,14145.96221,45726.98419,89.91
2024-01-03T17:45+01:00,14146.69317,45408.97309,63.81
2024-01-03T18:00+01:00,14215.00708,44958.38188,84.92
2024-01-03T18:15+01:00,14211.65451,44637.33123,68.28
2024-01-03T18:30+01:00,14235.06945,44338.21029,89.91
